"label","subdistrict_id"
"Babakan, Kabupaten Cirebon, Jawa Barat","1474"
"Babakancikao, Kabupaten Purwakarta, Jawa Barat","5217"
"Babalan, Kabupaten Langkat, Sumatera Utara","3260"
"Babat Supat, Kabupaten Musi Banyuasin, Sumatera Selatan","4200"
"Babat Toman, Kabupaten Musi Banyuasin, Sumatera Selatan","4201"
"Babat, Kabupaten Lamongan, Jawa Timur","3113"
"Babelan, Kabupaten Bekasi, Jawa Barat","726"
"Babirik, Kabupaten Hulu Sungai Utara, Kalimantan Selatan","1999"
"Babo, Kabupaten Teluk Bintuni, Papua Barat","6526"
"Babul Makmur, Kabupaten Aceh Tenggara, Nanggroe Aceh Darussalam (NAD)","109"
"Babul Rahmah, Kabupaten Aceh Tenggara, Nanggroe Aceh Darussalam (NAD)","110"
"Babulu, Kabupaten Penajam Paser Utara, Kalimantan Timur","4960"
"Babussalam, Kabupaten Aceh Tenggara, Nanggroe Aceh Darussalam (NAD)","111"
"Bacan Barat Utara, Kabupaten Halmahera Selatan, Maluku Utara","1911"
"Bacan Barat, Kabupaten Halmahera Selatan, Maluku Utara","1910"
"Bacan Selatan, Kabupaten Halmahera Selatan, Maluku Utara","1912"
"Bacan Timur Selatan, Kabupaten Halmahera Selatan, Maluku Utara","1914"
"Bacan Timur Tengah, Kabupaten Halmahera Selatan, Maluku Utara","1915"
"Bacan Timur, Kabupaten Halmahera Selatan, Maluku Utara","1913"
"Bacan, Kabupaten Halmahera Selatan, Maluku Utara","1909"
"Bacukiki Barat, Kota Parepare, Sulawesi Selatan","4731"
"Bacukiki, Kota Parepare, Sulawesi Selatan","4730"
"Badar, Kabupaten Aceh Tenggara, Nanggroe Aceh Darussalam (NAD)","112"
"Badas, Kabupaten Kediri, Jawa Timur","2497"
"Badau, Kabupaten Belitung, Bangka Belitung","761"
"Badau, Kabupaten Kapuas Hulu, Kalimantan Barat","2330"
"Badegan, Kabupaten Ponorogo, Jawa Timur","5072"
"Badiri, Kabupaten Tapanuli Tengah, Sumatera Utara","6386"
"Bae, Kabupaten Kudus, Jawa Tengah","2921"
"Baebunta, Kabupaten Luwu Utara, Sulawesi Selatan","3481"
"Bagan Sinembah, Kabupaten Rokan Hilir, Riau","5303"
"Bagelen, Kabupaten Purworejo, Jawa Tengah","5234"
"Bagor, Kabupaten Nganjuk, Jawa Timur","4323"
"Baguala, Kota Ambon, Maluku","209"
"Bahar Selatan, Kabupaten Muaro Jambi, Jambi","4131"
"Bahar Utara, Kabupaten Muaro Jambi, Jambi","4132"
"Bahau Hulu, Kabupaten Malinau, Kalimantan Utara","3639"
"Bahodopi, Kabupaten Morowali, Sulawesi Tengah","4090"
"Bahorok, Kabupaten Langkat, Sumatera Utara","3261"
"Bahuga, Kabupaten Way Kanan, Lampung","6871"
"Baito, Kabupaten Konawe Selatan, Sulawesi Tenggara","2819"
"Baiturrahman, Kota Banda Aceh, Nanggroe Aceh Darussalam (NAD)","278"
"Baitussalam, Kabupaten Aceh Besar, Nanggroe Aceh Darussalam (NAD)","22"
"Bajawa Utara, Kabupaten Ngada, Nusa Tenggara Timur (NTT)","4313"
"Bajawa, Kabupaten Ngada, Nusa Tenggara Timur (NTT)","4312"
"Bajeng Barat, Kabupaten Gowa, Sulawesi Selatan","1811"
"Bajeng, Kabupaten Gowa, Sulawesi Selatan","1810"
"Bajenis, Kota Tebing Tinggi, Sumatera Utara","6485"
"Bajo Barat, Kabupaten Luwu, Sulawesi Selatan","3449"
"Bajo, Kabupaten Luwu, Sulawesi Selatan","3448"
"Bajubang, Kabupaten Batang Hari, Jambi","700"
"Bajuin, Kabupaten Tanah Laut, Kalimantan Selatan","6257"
"Bakam, Kabupaten Bangka, Bangka Belitung","426"
"Bakarangan, Kabupaten Tapin, Kalimantan Selatan","6420"
"Bakauheni, Kabupaten Lampung Selatan, Lampung","3155"
"Baki, Kabupaten Sukoharjo, Jawa Tengah","5977"
"Bakongan Timur, Kabupaten Aceh Selatan, Nanggroe Aceh Darussalam (NAD)","55"
"Bakongan, Kabupaten Aceh Selatan, Nanggroe Aceh Darussalam (NAD)","54"
"Bakti Raja, Kabupaten Humbang Hasundutan, Sumatera Utara","2006"
"Baktiya Barat, Kabupaten Aceh Utara, Nanggroe Aceh Darussalam (NAD)","150"
"Baktiya, Kabupaten Aceh Utara, Nanggroe Aceh Darussalam (NAD)","149"
"Bakumpai, Kabupaten Barito Kuala, Kalimantan Selatan","627"
"Bakung, Kabupaten Blitar, Jawa Timur","974"
"Balaesang Tanjung, Kabupaten Donggala, Sulawesi Tengah","1618"
"Balaesang, Kabupaten Donggala, Sulawesi Tengah","1617"
"Balai Riam, Kabupaten Sukamara, Kalimantan Tengah","5972"
"Balai, Kabupaten Sanggau, Kalimantan Barat","5408"
"Balanipa, Kabupaten Polewali Mandar, Sulawesi Barat","5057"
"Balantak Selatan, Kabupaten Banggai, Sulawesi Tengah","385"
"Balantak Utara, Kabupaten Banggai, Sulawesi Tengah","386"
"Balantak, Kabupaten Banggai, Sulawesi Tengah","384"
"Balapulang, Kabupaten Tegal, Jawa Tengah","6503"
"Balaraja, Kabupaten Tangerang, Banten","6268"
"Baleendah, Kabupaten Bandung, Jawa Barat","308"
"Balen, Kabupaten Bojonegoro, Jawa Timur","1068"
"Balerejo, Kabupaten Madiun, Jawa Timur","3493"
"Balige, Kabupaten Toba Samosir, Sumatera Utara","6653"
"Balik Bukit, Kabupaten Lampung Barat, Lampung","3141"
"Balikpapan Barat, Kota Balikpapan, Kalimantan Timur","272"
"Balikpapan Kota, Kota Balikpapan, Kalimantan Timur","273"
"Balikpapan Selatan, Kota Balikpapan, Kalimantan Timur","274"
"Balikpapan Tengah, Kota Balikpapan, Kalimantan Timur","275"
"Balikpapan Timur, Kota Balikpapan, Kalimantan Timur","276"
"Balikpapan Utara, Kota Balikpapan, Kalimantan Timur","277"
"Balingga, Kabupaten Lanny Jaya, Papua","3288"
"Balinggi, Kabupaten Parigi Moutong, Sulawesi Tengah","4739"
"Balla, Kabupaten Mamasa, Sulawesi Barat","3711"
"Balocci, Kabupaten Pangkajene Kepulauan, Sulawesi Selatan","4700"
"Balong Panggang, Kabupaten Gresik, Jawa Timur","1828"
"Balong, Kabupaten Ponorogo, Jawa Timur","5073"
"Balongan, Kabupaten Indramayu, Jawa Barat","2052"
"Balongbendo, Kabupaten Sidoarjo, Jawa Timur","5631"
"Balung, Kabupaten Jember, Jawa Timur","2204"
"Balusu, Kabupaten Barru, Sulawesi Selatan","666"
"Balusu, Kabupaten Toraja Utara, Sulawesi Selatan","6739"
"Bambaira, Kabupaten Mamuju Utara, Sulawesi Barat","3756"
"Bambalamotu, Kabupaten Mamuju Utara, Sulawesi Barat","3757"
"Bambang Lipuro, Kabupaten Bantul, DI Yogyakarta","537"
"Bambang, Kabupaten Mamasa, Sulawesi Barat","3712"
"Bambel, Kabupaten Aceh Tenggara, Nanggroe Aceh Darussalam (NAD)","113"
"Bamgi, Kabupaten Mappi, Papua","3848"
"Banama Tingang, Kabupaten Pulang Pisau, Kalimantan Tengah","5170"
"Banawa Selatan, Kabupaten Donggala, Sulawesi Tengah","1620"
"Banawa Tengah, Kabupaten Donggala, Sulawesi Tengah","1621"
"Banawa, Kabupaten Donggala, Sulawesi Tengah","1619"
"Bancak, Kabupaten Semarang, Jawa Tengah","5480"
"Bancar, Kabupaten Tuban, Jawa Timur","6778"
"Banda Alam, Kabupaten Aceh Timur, Nanggroe Aceh Darussalam (NAD)","125"
"Banda Baro, Kabupaten Aceh Utara, Nanggroe Aceh Darussalam (NAD)","151"
"Banda Mulia, Kabupaten Aceh Tamiang, Nanggroe Aceh Darussalam (NAD)","83"
"Banda Raya, Kota Banda Aceh, Nanggroe Aceh Darussalam (NAD)","279"
"Banda Sakti, Kota Lhokseumawe, Nanggroe Aceh Darussalam (NAD)","3347"
"Banda, Kabupaten Maluku Tengah, Maluku","3672"
